text,category,severity
"Unmarked and unpainted speed breaker on Circular Road without reflectors, vehicles violently jumping.",Urban Infrastructure,MEDIUM
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Ramgarh.",Agriculture,CRITICAL
Clean drinking water dispenser not working in hospital OPD waiting lounge in Sahebganj.,Healthcare,LOW
"Main storm drain culvert collapsed under truck weight, half the road completely severed in Koderma.",Urban Infrastructure,HIGH
Herd of wild boars and elephants destroying standing sugarcane crops nightly in farm belt Ramgarh.,Agriculture,HIGH
"Middle school in Gumla has no functional toilet for girl students, causing massive dropouts.",Education,HIGH
"Cold storage plant cooling gas leaked, ruining entire stored potato and tomato harvest in Deoghar.",Agriculture,CRITICAL
Commercial slaughterhouse dumping animal entrails and blood directly into open municipal drain in Jamtara.,Sanitation,HIGH
"Solar street light battery backup discharged, light turning off by 10 PM in Chatra.",Energy,LOW
"Commercial private trucks parking illegally on both lanes of narrow highway Hospital Road, causing daily fatal crashes.",Transportation,HIGH
School playground in Ramgarh taken over by unauthorized parked commercial vehicles.,Education,MEDIUM
Farmer credit card passbook printer out of paper at rural bank branch Dumka.,Agriculture,LOW
"Dialysis unit machines broken down, chronic kidney patients turned away without treatment in Gumla.",Healthcare,HIGH
Gang of anti-social youth eve-teasing and harassing female students daily outside coaching hub in Gumla.,Public Safety,HIGH
Massive forest fire spreading uncontrolled toward tribal settlements and wildlife habitat in Pakur.,Environment,CRITICAL
"Distribution transformer caught fire and exploded, fire spreading toward adjacent residential huts in Jamshedpur.",Energy,CRITICAL
Slight brownish discoloration noticed in morning tap water for past two days in Giridih.,Water Management,LOW
"Government grain mandi delaying procurement, farmers' harvested grain soaked in rain in open yard at Jamshedpur.",Agriculture,HIGH
"Electric pole broken at base by storm, leaning directly over tin roof of occupied house in Palamu.",Energy,CRITICAL
Water pipeline breach drowned three cows and flooded electrical sub-station near Ring Road.,Water Management,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in Garhwa.",Sanitation,LOW
"Extreme shortage of essential medicines, paracetamol, and ORS packets in primary health clinic Deoghar.",Healthcare,HIGH
Toxic fly ash slurry dam breach flooded village agricultural fields with hazardous sludge near Khunti.,Environment,CRITICAL
Rainwater pooling at street corner due to faulty road gradient on GT Road in Simdega.,Urban Infrastructure,MEDIUM
Drip irrigation government subsidy disbursement delayed for over 8 months in Chatra.,Agriculture,MEDIUM
"Hailstorm and gale winds flattened standing crops across village Ranchi, farmers facing total bankruptcy.",Agriculture,CRITICAL
State transport bus operating with completely worn bald tires and failing hydraulic brakes on hill route near West Singhbhum.,Transportation,CRITICAL
Minor cracks appearing on walking promenade footpath in public park at Dhanbad.,Urban Infrastructure,LOW
Unauthorized commercial advertising banners blocking driver visibility at road turning in Lohardaga.,Public Safety,LOW
Divider break on fast expressway in Palamu causing tractors and two-wheelers to drive on wrong side.,Urban Infrastructure,HIGH
"Street dustbin missing lid, stray dogs scattering waste in Sahebganj.",Sanitation,LOW
Agricultural extension officer not available on scheduled field visit day in Deoghar.,Agriculture,LOW
Open electrical feeder pillar box with live bare busbars standing unlocked outside children's park in Chaibasa.,Energy,CRITICAL
Request for additional bus stop shelter along newly developed residential sector in West Singhbhum.,Transportation,LOW
Rainwater pooling at street corner due to faulty road gradient on Station Road in Chaibasa.,Urban Infrastructure,MEDIUM
"Bridge approach road collapsed, leaving public transport buses stranded on ledge near Godda.",Transportation,CRITICAL
Shared auto drivers driving rashly on wrong side of highway and charging 3x metered fare in Simdega.,Transportation,MEDIUM
State transport buses regularly skipping designated village bus stops in West Singhbhum.,Transportation,MEDIUM
Request for tree plantation drive along newly expanded 4-lane avenue in Chaibasa.,Environment,LOW
Pedestrian subway flooded with 5 feet of stormwater and live electrical wires submerged in water.,Urban Infrastructure,CRITICAL
"Contractual teachers going on indefinite strike, leaving school completely shut for 4 days in Simdega.",Education,HIGH
Sticker bills and posters defacing newly painted public sanitation facility in Giridih.,Sanitation,LOW
Staff at government health sub-centre in Palamu demanding illicit money for issuing vaccination certificates.,Healthcare,MEDIUM
"Main feeder water line ruptured by telecom JCB digging along Circular Road, continuous massive water wastage.",Water Management,HIGH
Fallen autumn leaves accumulated in street gutters in sector 2 of Chaibasa.,Sanitation,LOW
Water pipeline breach drowned three cows and flooded electrical sub-station near Airport Road.,Water Management,CRITICAL
"Canal embankment breached by heavy flow, submerging 200 acres of paddy fields and farmers' huts in Garhwa.",Agriculture,CRITICAL
Hospital blood bank has zero units of all blood groups during emergency accident influx in Dhanbad.,Healthcare,CRITICAL
Pesticide dumping caused sudden death of thousands of fish in community lake at Godda.,Environment,HIGH
"No tap water supply in West Singhbhum for past 2 days, residents forced to purchase private tankers at huge rates.",Water Management,HIGH
Pavement curbs need repainting in reflective yellow paint along Hospital Road.,Urban Infrastructure,LOW
Emergency Police dial 112 / 100 helpline calls ringing unanswered during violent burglary distress in Sahebganj.,Public Safety,CRITICAL
Pack of aggressive rabid stray dogs attacked and mauled multiple senior citizens and children in Hazaribagh.,Public Safety,HIGH
"Complete groundwater depletion in Dumka, borewells pumping sand, emergency relief tankers urgently needed.",Water Management,CRITICAL
"Street dustbin missing lid, stray dogs scattering waste in West Singhbhum.",Sanitation,LOW
Dangerous blind hairpin curve on ghat road Hazaribagh has broken safety crash barriers and zero reflectors.,Transportation,HIGH
